"id","fqdn/ip","port","severity","finding","cve","cwe"
"DROWN_hint","www.nathalie-arthaud.info/141.94.244.194","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=D87955173FE1ADFAED4C560D6534CB02EF405413391E3FB0468B07BA01C324A4","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","www.nathalie-arthaud.info/141.94.244.194","443","INFO","RFC3526/Oakley Group 16","CVE-2015-4000","CWE-310"
"LOGJAM","www.nathalie-arthaud.info/141.94.244.194","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","www.nathalie-arthaud.info/141.94.244.194","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.nathalie-arthaud.info/141.94.244.194","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.nathalie-arthaud.info/141.94.244.194","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.nathalie-arthaud.info/141.94.244.194","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_500","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA","",""
"clientsimulation-android_60","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA","",""
"clientsimulation-android_70","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_X","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_74_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-chrome_79_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_66_win81","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-firefox_71_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_6_xp","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_win81","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_winphone81","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA","",""
"clientsimulation-ie_11_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_17_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-opera_66_win10","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-safari_9_ios9","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-safari_9_osx1011","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-safari_10_osx1012","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-safari_121_ios_122","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-safari_130_osx_10146","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-apple_ats_9_ios9","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java_6u45","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No connection","",""
"clientsimulation-java_7u25","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-java1102","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1201","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_102e","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","www.nathalie-arthaud.info/141.94.244.194","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
