"id","fqdn/ip","port","severity","finding","cve","cwe"
"supportedciphers_TLSv1_2","poutou2022.org/94.23.218.185","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA256-SHA384 DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA AES256-GCM-SHA384 AES256-SHA256 AES256-SHA CAMELLIA256-SHA256 CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA ECDHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA AES128-GCM-SHA256 AES128-SHA256 AES128-SHA CAMELLIA128-SHA256 CAMELLIA128-SHA","",""
"FS","poutou2022.org/94.23.218.185","443","OK","offered","",""
"FS_ciphers","poutou2022.org/94.23.218.185","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","poutou2022.org/94.23.218.185","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","poutou2022.org/94.23.218.185","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","poutou2022.org/94.23.218.185","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","poutou2022.org/94.23.218.185","443","INFO","yes","",""
"sessionresumption_ticket","poutou2022.org/94.23.218.185","443","INFO","supported","",""
"sessionresumption_ID","poutou2022.org/94.23.218.185","443","INFO","supported","",""
"TLS_timestamp","poutou2022.org/94.23.218.185","443","INFO","random","",""
"certificate_compression","poutou2022.org/94.23.218.185","443","INFO","none","",""
"clientAuth","poutou2022.org/94.23.218.185","443","INFO","none","",""
"cert_numbers","poutou2022.org/94.23.218.185","443","INFO","1","",""
"cert_signatureAlgorithm","poutou2022.org/94.23.218.185","443","OK","SHA256 with RSA","",""
"cert_keySize","poutou2022.org/94.23.218.185","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","poutou2022.org/94.23.218.185","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","poutou2022.org/94.23.218.185","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","poutou2022.org/94.23.218.185","443","INFO","CCF7FE77C52CB9E2B7A1C32BF84BC786","",""
"cert_serialNumberLen","poutou2022.org/94.23.218.185","443","INFO","16","",""
"cert_fingerprintSHA1","poutou2022.org/94.23.218.185","443","INFO","DA6408134661B4E6C16C9A3535AE21C6C31B7596","",""
"cert_fingerprintSHA256","poutou2022.org/94.23.218.185","443","INFO","74730DCDC018388DF498B01E5F61FEACC7C65F34AF5827D0EEEECCDAD3A0ED5A","",""
